timestamp,building,floor_area,zone_name,category,meter_id,area_m2,energy_kwh,avg_power_kw,occupancy_level,outside_temp_c,is_weekend,working_hours,time_period,notes
6/1/2026 00:00,Academic and Laboratory Building,Floor 1,Laboratory Equipment,Laboratory Equipment,MTR-F1-LAB,900,4.78,4.78,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 1,HVAC,HVAC,MTR-F1-HVAC,2800,9.33,9.33,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 1,Work Area Lighting,Work Area Lighting,MTR-F1-WAL,1400,0.87,0.87,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 1,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F1-CLL,600,3.62,3.62,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 1,Plug Load,Plug Load,MTR-F1-PLG,1200,1.97,1.97,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 2,IT / Computer Lab Equipment,IT / Computer Lab Equipment,MTR-F2-ITLAB,700,3.57,3.57,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 2,HVAC,HVAC,MTR-F2-HVAC,2300,7.71,7.71,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 2,Work Area Lighting,Work Area Lighting,MTR-F2-WAL,1300,0.74,0.74,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 2,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F2-CLL,500,2.94,2.94,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 2,Plug Load,Plug Load,MTR-F2-PLG,1100,2.07,2.07,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 3,Smart Lab / Studio Equipment,Smart Lab / Studio Equipment,MTR-F3-SMART,500,2.88,2.88,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 3,HVAC,HVAC,MTR-F3-HVAC,2100,7.19,7.19,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 3,Work Area Lighting,Work Area Lighting,MTR-F3-WAL,1200,0.62,0.62,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 3,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F3-CLL,500,2.86,2.86,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 3,Plug Load,Plug Load,MTR-F3-PLG,900,1.69,1.69,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 4,Server Room,Server Room,MTR-F4-SERVER,280,21.69,21.69,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 4,IT Infrastructure,IT Infrastructure,MTR-F4-ITINF,160,6.33,6.33,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 4,HVAC,HVAC,MTR-F4-HVAC,1800,7.53,7.53,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 4,Work Area Lighting,Work Area Lighting,MTR-F4-WAL,900,0.47,0.47,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 4,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F4-CLL,400,2.55,2.55,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Floor 4,Plug Load,Plug Load,MTR-F4-PLG,700,0.99,0.99,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Common Building Services,Elevator,Elevator,MTR-COM-ELEV,150,0.47,0.47,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Common Building Services,Fire and Safety,Fire and Safety,MTR-COM-FIRE,9000,0.79,0.79,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Common Building Services,Outdoor Lighting,Outdoor Lighting,MTR-COM-OUT,1000,4.1,4.1,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 00:00,Academic and Laboratory Building,Common Building Services,ELV / Network System,ELV / Network System,MTR-COM-ELV,9000,3.72,3.72,Very Low,9.8,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 1,Laboratory Equipment,Laboratory Equipment,MTR-F1-LAB,900,4.83,4.83,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 1,HVAC,HVAC,MTR-F1-HVAC,2800,10.34,10.34,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 1,Work Area Lighting,Work Area Lighting,MTR-F1-WAL,1400,0.91,0.91,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 1,Circulation and Lobby Lighting,Circulation and Lobby Lighting,MTR-F1-CLL,600,3.65,3.65,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
6/1/2026 01:00,Academic and Laboratory Building,Floor 1,Plug Load,Plug Load,MTR-F1-PLG,1200,1.98,1.98,Very Low,8.2,FALSE,FALSE,Night Base Load,Night Base Load; weekday profile
